Date,SRI LANKA
2000-12,100.0
2001-01,91.28666368509269
2001-02,97.79573632941754
2001-03,95.3927597756403
2001-04,89.18671578813371
2001-05,93.34557921781808
2001-06,96.72117862857512
2001-07,91.63534245652106
2001-08,85.61258958196173
2001-09,81.99977427896036
2001-10,123.50189847976021
2001-11,123.37141458024101
2001-12,150.79549030087762
2002-01,132.08303773361348
2002-02,144.73867142301665
2002-03,147.52314635461227
2002-04,146.4222646422632
2002-05,162.45954221817806
2002-06,162.1058005801754
2002-07,159.84185805316633
2002-08,178.28400696146656
2002-09,197.61529647776578
2002-10,184.0955283255609
2002-11,176.15023393260896
2002-12,171.31910185176363
2003-01,163.30400383181075
2003-02,150.7514360405567
2003-03,150.23934696988334
2003-04,165.82199048694127
2003-05,172.18634660213033
2003-06,253.54714832566287
2003-07,250.3415435997774
2003-08,265.36314082425537
2003-09,299.36134660156284
2003-10,317.4571286112661
2003-11,260.83017493505184
2003-12,207.73682187667012
2004-01,242.43659824896466
2004-02,229.11894946527445
2004-03,231.1852733695481
2004-04,220.68032772603488
2004-05,233.83304342180045
2004-06,240.32141536207595
2004-07,246.19341515893217
2004-08,232.30943916597454
2004-09,230.7000503430047
2004-10,236.48251340532946
2004-11,220.65150869780518
2004-12,213.63231140331965
2005-01,267.625217284216
2005-02,271.63690569547987
2005-03,277.2529578554004
2005-04,307.3360472012576
2005-05,331.55293823064477
2005-06,332.9882175603704
2005-07,332.0698542398269
2005-08,337.46428473502056
2005-09,408.71341473437735
2005-10,409.5066973472581
2005-11,382.30670107509417
2005-12,328.5321437852597
2006-01,339.0357983173082
2006-02,363.92162184957357
2006-03,364.74775962141456
2006-04,338.3713985229973
2006-05,333.8802170897253
2006-06,329.29162361958686
2006-07,330.50330711795846
2006-08,335.80377391366005
2006-09,357.19451967643374
2006-10,365.0406171080768
2006-11,420.45548695333935
2006-12,427.3334943202774
2007-01,469.94141721462165
2007-02,450.475881795753
2007-03,420.43086941062586
2007-04,393.1566965170087
2007-05,375.1673049844203
2007-06,379.2301365851513
2007-07,341.527618493545
2007-08,359.0141051684115
2007-09,328.71399177573744
2007-10,337.57322673516643
2007-11,326.41292289828067
2007-12,332.96542993960986
2008-01,321.7624289490713
2008-02,317.0946945184088
2008-03,303.32493403730643
2008-04,304.486471671537
2008-05,297.7238223765086
2008-06,286.5065427270986
2008-07,272.3228675186173
2008-08,273.54103172629385
2008-09,239.37416462555262
2008-10,201.25105090786914
2008-11,195.0349660649324
2008-12,141.34218782194415
2009-01,189.0310608764435
2009-02,174.11763520916122
2009-03,171.33634650772592
2009-04,188.1277840581607
2009-05,281.88490339782663
2009-06,331.65573963967546
2009-07,329.2477260588324
2009-08,317.3010580634818
2009-09,346.2816389226582
2009-10,328.923427016024
2009-11,330.3863068414021
2009-12,398.1443460714368
2010-01,412.1278495205981
2010-02,402.9069800972769
2010-03,440.78482453104675
2010-04,455.19723461603195
2010-05,493.2141996403899
2010-06,554.7227598081818
2010-07,597.9288586404416
2010-08,633.5744286058999
2010-09,770.4270989315307
2010-10,716.0209153819947
2010-11,760.4699047579832
2010-12,740.4008257405649
2011-01,721.7742914319024
2011-02,727.0640791108517
2011-03,684.5964468565796
2011-04,651.9384905246429
2011-05,672.010609128232
2011-06,611.37418762994
2011-07,609.8389945795411
2011-08,623.3176601420389
2011-09,647.5843677235
2011-10,583.0587101313433
2011-11,531.558801077011
2011-12,553.4127478074433
2012-01,543.0001007075876
2012-02,504.894734836092
2012-03,520.1150399738822
2012-04,526.1423209967043
2012-05,515.9098676247935
2012-06,493.08515646877856
2012-07,510.8165785007034
2012-08,528.1542602587097
2012-09,607.7877843845946
2012-10,542.3191140916239
2012-11,541.4985334427232
2012-12,573.2816144221603
2013-01,584.5644211328296
2013-02,610.1254798794716
2013-03,657.0201034443194
2013-04,653.8110381243939
2013-05,747.2837878810498
2013-06,655.3887849106496
2013-07,655.0676714895795
2013-08,577.4481687580453
2013-09,570.4820898393658
2013-10,597.6424341510145
2013-11,569.9105523869968
2013-12,605.6141815009674
2014-01,655.9699535631896
2014-02,583.914675056948
2014-03,606.8584801808139
2014-04,635.3151917153468
2014-05,640.8357558845889
2014-06,629.5287279054394
2014-07,685.6841767427055
2014-08,726.3225483152522
2014-09,775.4604248137903
2014-10,800.540552781427
2014-11,760.6259541831294
2014-12,820.0067971461779
2015-01,788.5852919371828
2015-02,786.8701584800328
2015-03,783.6553736720216
2015-04,781.8030294768122
2015-05,753.0843131049708
2015-06,759.7570409384014
2015-07,834.7142868984733
2015-08,780.666180848234
2015-09,697.1963954579002
2015-10,714.4277862943234
2015-11,736.9814038500757
2015-12,709.2352479063915
2016-01,631.4101302583094
2016-02,638.8650262759286
2016-03,576.4685042732032
2016-04,606.3565814727996
2016-05,616.2565210302424
2016-06,615.2236468876154
2016-07,634.9952452392612
2016-08,685.1704826456416
2016-09,683.6558379618921
2016-10,685.5592049667999
2016-11,700.5173520161832
2016-12,693.7055703688222
2017-01,659.6702302499785
2017-02,679.3949965165
2017-03,645.4395286864066
2017-04,727.1717369186684
2017-05,709.9074493212229
2017-06,740.1958349112397
2017-07,699.2519457497061
2017-08,663.2354333856276
2017-09,670.1591714314162
2017-10,685.7046734277321
2017-11,643.6042110391076
2017-12,624.643265866175
2018-01,651.2425316319749
2018-02,654.3248795754732
2018-03,642.8607239197488
2018-04,658.1118201734889
2018-05,635.6085897973874
2018-06,621.5087046158638
2018-07,600.880646983025
2018-08,604.3691327793995
2018-09,539.7441382941846
2018-10,584.7015729453649
2018-11,607.4840121682496
2018-12,585.8448763120731
2019-01,593.9482046251128
2019-02,603.8359850779904
2019-03,611.6321361009275
2019-04,586.4671335649007
2019-05,548.50243377329
2019-06,542.6678842537948
2019-07,599.2271444111445
2019-08,599.2424340921621
2019-09,592.4489324056932
2019-10,588.0883624762552
2019-11,640.1731941358292
2019-12,613.9950159640428
2020-01,601.4852148792222
2020-02,557.9446089579517
2020-03,410.3988593481208
2020-04,408.4318062810161
2020-05,403.11969870950423
2020-06,463.9505540287353
2020-07,406.7004605735445
2020-08,473.0258111527173
2020-09,480.58121683908206
2020-10,466.1156297306251
2020-11,501.9164217773034
2020-12,499.0865762786873
2021-01,560.8354784117881
2021-02,499.287057013049
2021-03,498.0066167674743
2021-04,465.5315448535732
2021-05,465.15165192593327
2021-06,467.95252131450985
2021-07,468.9333282126516
2021-08,456.5549308673869
2021-09,505.9508839766408
2021-10,507.2391015362449
2021-11,490.75907304997696
2021-12,567.2596895449647
2022-01,581.6948527546925
2022-02,516.2008624334964
2022-03,284.3982907567862
2022-04,205.20339953193164
2022-05,225.61523470678546
2022-06,200.31068900018622
2022-07,203.9072437937245
2022-08,244.7568660744781
2022-09,252.3419336602542
2022-10,212.72171091094597
2022-11,227.96346186506332
2022-12,209.97664142783412
2023-01,214.29524118903635
2023-02,212.85788331163897
2023-03,219.1403216341688
2023-04,224.53007833585113
2023-05,238.9937593872326
2023-06,238.94458589609772
2023-07,257.13305102500107
